onset	duration	trial_type	value	sample
554.588	0.001	R_2	102	138647
555.808	0.001	S_4	4	138952
557.32	0.001	S_8	8	139330
558.004	0.001	R_1	101	139501
561.58	0.001	S_4	4	140395
563.104	0.001	S_16	16	140776
563.884	0.001	R_2	102	140971
565.428	0.001	S_4	4	141357
566.944	0.001	S_8	8	141736
567.956	0.001	R_1	101	141989
569.464	0.001	S_4	4	142366
570.98	0.001	S_16	16	142745
571.924	0.001	R_2	102	142981
573.26	0.001	S_4	4	143315
574.784	0.001	S_16	16	143696
575.244	0.001	R_1	101	143811
576.5	0.001	S_4	4	144125
578.024	0.001	S_8	8	144506
578.892	0.001	R_1	101	144723
580.34	0.001	S_4	4	145085
581.864	0.001	S_8	8	145466
582.428	0.001	R_1	101	145607
583.96	0.001	S_4	4	145990
585.472	0.001	S_16	16	146368
586.42	0.001	R_2	102	146605
587.592	0.001	S_4	4	146898
589.112	0.001	S_8	8	147278
589.588	0.001	R_2	102	147397
591.184	0.001	S_4	4	147796
592.704	0.001	S_8	8	148176
593.548	0.001	R_1	101	148387
594.876	0.001	S_4	4	148719
596.392	0.001	S_16	16	149098
597.172	0.001	R_1	101	149293
598.46	0.001	S_4	4	149615
599.984	0.001	S_8	8	149996
600.82	0.001	R_1	101	150205
602.008	0.001	S_4	4	150502
603.524	0.001	S_16	16	150881
604.072	0.001	R_1	101	151018
605.34	0.001	S_4	4	151335
606.884	0.001	S_8	8	151721
607.48	0.001	R_2	102	151870
609.092	0.001	S_4	4	152273
610.616	0.001	S_16	16	152654
611.18	0.001	R_1	101	152795
612.448	0.001	S_4	4	153112
613.964	0.001	S_8	8	153491
614.848	0.001	R_1	101	153712
616.096	0.001	S_4	4	154024
617.616	0.001	S_16	16	154404
618.396	0.001	R_2	102	154599
619.64	0.001	S_4	4	154910
621.156	0.001	S_16	16	155289
621.688	0.001	R_1	101	155422
622.928	0.001	S_4	4	155732
624.456	0.001	S_8	8	156114
625.084	0.001	R_1	101	156271
626.408	0.001	S_4	4	156602
627.924	0.001	S_16	16	156981
628.616	0.001	R_2	102	157154
630.028	0.001	S_4	4	157507
631.544	0.001	S_16	16	157886
632.204	0.001	R_1	101	158051
635.536	0.001	S_4	4	158884
637.052	0.001	S_8	8	159263
638.232	0.001	R_1	101	159558
639.856	0.001	S_4	4	159964
641.372	0.001	S_8	8	160343
642.08	0.001	R_1	101	160520
643.404	0.001	S_4	4	160851
644.924	0.001	S_16	16	161231
646.2	0.001	R_1	101	161550
647.492	0.001	S_4	4	161873
649.016	0.001	S_8	8	162254
649.68	0.001	R_1	101	162420
651.088	0.001	S_4	4	162772
652.604	0.001	S_16	16	163151
653.256	0.001	R_2	102	163314
654.628	0.001	S_4	4	163657
656.148	0.001	S_8	8	164037
656.784	0.001	R_1	101	164196
