participant,exp,total_alpha_dB,relative_alpha_dB,channels,Aperiodic_Offset,Aperiodic_Exponent,R_squared,Error,delta_CF_Hz_peak,mean_delta_cf,relative_delta_dB,total_delta_dB,delta_BW_Hz_peak,delta_BW_Hz_sum,theta_CF_Hz_peak,mean_theta_cf,relative_theta_dB,total_theta_dB,theta_BW_Hz_peak,theta_BW_Hz_sum,beta_CF_Hz_peak,mean_beta_cf,relative_beta_dB,total_beta_dB,beta_BW_Hz_peak,beta_BW_Hz_sum,gamma_CF_Hz_peak,mean_gamma_cf,relative_gamma_dB,total_gamma_dB,gamma_BW_Hz_peak,gamma_BW_Hz_sum
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,TP10,-9.394973,2.145724,0.991403,0.046982,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,CP6,-9.753604,1.973004,0.988527,0.048891,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,CP2,-9.69247,2.265674,0.993664,0.035255,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.84699,23.543038,2.238986,4.768232,5.058974,8.061604,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,Cz,-10.576314,1.94629,0.992105,0.030575,0,0,0,0,0,0,6.995511,6.995511,2.167042,2.167042,1.740116,1.740116,15.952545,16.585143,1.709847,3.081157,1.4,2.8,31.459079,35.407569,1.913989,3.430494,7.853957,9.307937
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,C4,-10.087842,1.894485,0.987438,0.045694,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.419683,16.419683,2.000569,2.000569,2.721764,2.721764,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,T8,-9.745284,1.85343,0.985855,0.043942,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.015657,36.00706,2.003135,3.288821,5.752477,7.152477
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,FT10,-9.509076,2.070492,0.987962,0.043905,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,18.033783,18.033783,1.152078,1.152078,1.4,1.4,36.009574,36.009574,1.091266,1.091266,8.0,8.0
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,FC6,-10.969211,0.843157,0.900805,0.065459,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,24.194026,22.954135,2.091032,4.109844,3.034456,4.434456,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,FC2,-11.903819,0.801221,0.977543,0.030446,0,0,0,0,0,0,6.564252,6.564252,4.255092,4.255092,1.921545,1.921545,23.304642,21.270818,2.117807,7.285889,5.140164,9.841942,31.104832,31.104832,1.211315,1.211315,1.4,1.4
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,F4,-11.645522,0.367732,0.59559,0.066497,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,25.767042,23.407522,2.773627,5.200281,2.858072,7.664367,35.480661,33.170663,1.395715,2.569598,1.4,2.8
