participant,exp,Peak #,CF_Hz,PW_log10,PW_dB,BW_Hz,Aperiodic_Offset,Aperiodic_Exponent,R_squared,Error,channels,Channels_Validity
sub-001,lowlevel,4,38.68749,0.095497,0.954973,1.4,-9.68045,2.22431,0.992196,0.038344,CP1,True
sub-001,lowlevel,1,9.037111,0.507604,5.076044,1.58522,-9.479714,2.281553,0.990843,0.047338,Pz,True
sub-001,lowlevel,2,11.650306,0.485819,4.858187,2.010066,-9.479714,2.281553,0.990843,0.047338,Pz,True
sub-001,lowlevel,3,16.124536,0.204467,2.044668,8.0,-9.479714,2.281553,0.990843,0.047338,Pz,True
sub-001,lowlevel,1,8.933034,0.633751,6.337508,1.611715,-9.491927,2.182204,0.993132,0.041784,P3,True
sub-001,lowlevel,2,11.830355,0.407029,4.070288,4.071505,-9.491927,2.182204,0.993132,0.041784,P3,True
sub-001,lowlevel,3,16.63608,0.217436,2.17436,7.710719,-9.491927,2.182204,0.993132,0.041784,P3,True
sub-001,lowlevel,1,9.194622,0.7236,7.236003,2.233557,-9.156841,2.313743,0.991918,0.053267,P7,True
sub-001,lowlevel,2,13.051943,0.460131,4.601307,5.829368,-9.156841,2.313743,0.991918,0.053267,P7,True
sub-001,lowlevel,1,8.967638,0.588274,5.882744,1.527071,-9.139494,2.377011,0.992824,0.047797,O1,True
sub-001,lowlevel,2,11.493771,0.689187,6.891865,3.30333,-9.139494,2.377011,0.992824,0.047797,O1,True
sub-001,lowlevel,3,16.057813,0.252679,2.526786,6.99872,-9.139494,2.377011,0.992824,0.047797,O1,True
sub-001,lowlevel,1,11.521438,0.717059,7.170588,4.781572,-9.148618,2.366357,0.984105,0.073216,Oz,True
sub-001,lowlevel,1,11.382018,0.812484,8.124839,4.502883,-9.203057,2.307567,0.983045,0.074988,O2,True
sub-001,lowlevel,1,10.957681,0.703676,7.036763,3.732194,-9.468414,2.241481,0.990359,0.050843,P4,True
sub-001,lowlevel,2,17.612228,0.158827,1.588267,8.0,-9.468414,2.241481,0.990359,0.050843,P4,True
sub-001,lowlevel,1,11.306964,0.72561,7.256103,4.429528,-9.190699,2.31857,0.986557,0.061663,P8,True
sub-001,lowlevel,1,11.410865,0.44635,4.463505,5.637289,-9.394973,2.145724,0.991403,0.046982,TP10,True
sub-001,lowlevel,1,11.567969,0.430896,4.308962,5.473592,-9.753604,1.973004,0.988527,0.048891,CP6,True
sub-001,lowlevel,1,9.003742,0.259648,2.59648,1.970222,-9.69247,2.265674,0.993664,0.035255,CP2,True
sub-001,lowlevel,2,11.835589,0.413611,4.136114,1.991714,-9.69247,2.265674,0.993664,0.035255,CP2,True
sub-001,lowlevel,3,15.84699,0.223899,2.238986,5.058974,-9.69247,2.265674,0.993664,0.035255,CP2,True
sub-001,lowlevel,4,25.625589,0.142759,1.427586,1.602629,-9.69247,2.265674,0.993664,0.035255,CP2,True
sub-001,lowlevel,5,29.156534,0.110166,1.101659,1.4,-9.69247,2.265674,0.993664,0.035255,CP2,True
sub-001,lowlevel,1,6.995511,0.216704,2.167042,1.740116,-10.576314,1.94629,0.992105,0.030575,Cz,True
sub-001,lowlevel,2,15.952545,0.170985,1.709847,1.4,-10.576314,1.94629,0.992105,0.030575,Cz,True
sub-001,lowlevel,3,17.217742,0.137131,1.371311,1.4,-10.576314,1.94629,0.992105,0.030575,Cz,True
sub-001,lowlevel,4,31.459079,0.191399,1.913989,7.853957,-10.576314,1.94629,0.992105,0.030575,Cz,True
sub-001,lowlevel,5,39.356058,0.15165,1.516504,1.45398,-10.576314,1.94629,0.992105,0.030575,Cz,True
